Repo,Metric,Value,
grpc-go,Name,Value,Level of concern
grpc-go,----------------------------,---------,------------------------------
grpc-go,Overall repository size,,
grpc-go,* Commits,,
grpc-go,* Count,6.04 k,
grpc-go,* Total size,3.50 MiB,
grpc-go,* Trees,,
grpc-go,* Count,22.8 k,
grpc-go,* Total size,19.3 MiB,
grpc-go,* Total tree entries,520 k,
grpc-go,* Blobs,,
grpc-go,* Count,19.6 k,
grpc-go,* Total size,399 MiB,
grpc-go,* Annotated tags,,
grpc-go,* Count,6,
grpc-go,* References,,
grpc-go,* Count,285,
grpc-go,* Branches,1,
grpc-go,* Tags,213,
grpc-go,* Remote-tracking refs,71,
grpc-go,,,
grpc-go,Biggest objects,,
grpc-go,* Commits,,
grpc-go,* Maximum size         [1],4.07 KiB,
grpc-go,* Maximum parents      [2],2,
grpc-go,* Trees,,
grpc-go,* Maximum entries      [3],90,
grpc-go,* Blobs,,
grpc-go,* Maximum size         [4],30.6 MiB,***
grpc-go,,,
grpc-go,History structure,,
grpc-go,* Maximum history depth,4.69 k,
grpc-go,* Maximum tag depth      [5],1,
grpc-go,,,
grpc-go,Biggest checkouts,,
grpc-go,* Number of directories  [6],389,
grpc-go,* Maximum path depth     [7],10,*
grpc-go,* Maximum path length    [7],90 B,
grpc-go,* Number of files        [6],1.20 k,
grpc-go,* Total size of files    [8],39.5 MiB,
grpc-go,* Number of symlinks     [9],7,
grpc-go,* Number of submodules,0,
grpc-java,Name,Value,Level of concern
grpc-java,----------------------------,---------,------------------------------
grpc-java,Overall repository size,,
grpc-java,* Commits,,
grpc-java,* Count,8.48 k,
grpc-java,* Total size,5.04 MiB,
grpc-java,* Trees,,
grpc-java,* Count,113 k,
grpc-java,* Total size,51.7 MiB,
grpc-java,* Total tree entries,1.22 M,
grpc-java,* Blobs,,
grpc-java,* Count,99.1 k,
grpc-java,* Total size,1.70 GiB,
grpc-java,* Annotated tags,,
grpc-java,* Count,175,
grpc-java,* References,,
grpc-java,* Count,256,
grpc-java,* Branches,1,
grpc-java,* Tags,181,
grpc-java,* Remote-tracking refs,74,
grpc-java,,,
grpc-java,Biggest objects,,
grpc-java,* Commits,,
grpc-java,* Maximum size         [1],7.75 KiB,
grpc-java,* Maximum parents      [2],2,
grpc-java,* Trees,,
grpc-java,* Maximum entries      [3],185,
grpc-java,* Blobs,,
grpc-java,* Maximum size         [4],4.46 MiB,
grpc-java,,,
grpc-java,History structure,,
grpc-java,* Maximum history depth,6.60 k,
grpc-java,* Maximum tag depth      [5],1,
grpc-java,,,
grpc-java,Biggest checkouts,,
grpc-java,* Number of directories  [6],1.27 k,
grpc-java,* Maximum path depth     [7],14,*
grpc-java,* Maximum path length    [8],152 B,*
grpc-java,* Number of files        [8],2.16 k,
grpc-java,* Total size of files    [9],41.4 MiB,
grpc-java,* Number of symlinks,0,
grpc-java,* Number of submodules  [10],2,
gvisor,Name,Value,Level of concern
gvisor,----------------------------,---------,------------------------------
gvisor,Overall repository size,,
gvisor,* Commits,,
gvisor,* Count,24.1 k,
gvisor,* Total size,10.1 MiB,
gvisor,* Trees,,
gvisor,* Count,102 k,
gvisor,* Total size,94.9 MiB,
gvisor,* Total tree entries,2.62 M,
gvisor,* Blobs,,
gvisor,* Count,69.9 k,
gvisor,* Total size,1.20 GiB,
gvisor,* Annotated tags,,
gvisor,* Count,210,
gvisor,* References,,
gvisor,* Count,535,
gvisor,* Branches,1,
