_id,repo_name,filename,html_url,star_count,fork_count,created_at,updated_at,pushed_at,num_commits,num_committers,num_issues,num_issues_submitters,num_issues_comments,num_issues_commenters,num_gov_commits,num_gov_committers,language,lines,tokens,occurrences
62547e91a67705b3d7ed9db7,grpc/grpc-go,GOVERNANCE.md,https://github.com/grpc/grpc-go/blob/87eb5b7502493f758e76c4d09430c0049a81a557/GOVERNANCE.md,15416,3444,2014-12-08T18:59:34.000Z,2022-02-24T03:13:25.000Z,2022-02-24 1:29:33,4120,330,1887,1050,5594,983,1,1,Go,22891.0,149120.0,2317.0
62547e91a67705b3d7ed9db8,grpc/grpc-java,GOVERNANCE.md,https://github.com/grpc/grpc-java/blob/d4fa0ecc07495097453b0a2848765f076b9e714c/GOVERNANCE.md,9455,3255,2014-12-08T19:00:00.000Z,2022-02-24T03:15:19.000Z,2022-02-23 21:56:47,5264,274,2843,1164,9056,1094,1,1,Java,24313.0,152476.0,1685.0
62547e91a67705b3d7ed9dbd,google/gvisor,GOVERNANCE.md,https://github.com/google/gvisor/blob/108410638aa8480e82933870ba8279133f543d2b/GOVERNANCE.md,12465,1024,2018-04-26T21:28:49.000Z,2022-02-24T02:45:44.000Z,2022-02-24 3:26:00,6541,188,1335,298,2308,336,1,1,Go,16535.0,103209.0,1614.0
62547e91a67705b3d7ed9dc2,appium/appium,GOVERNANCE.md,https://github.com/appium/appium/blob/1e30207ec4e413c64396420fbb0388392e88cc54/GOVERNANCE.md,14740,5507,2013-01-09T22:49:50.000Z,2022-02-24T02:49:28.000Z,2022-02-23 23:47:20,7356,369,12328,5496,61385,6480,6,4,JavaScript,127.0,1090.0,14.0
62547e91a67705b3d7ed9dc3,InsightSoftwareConsortium/ITK,GOVERNANCE.md,https://github.com/InsightSoftwareConsortium/ITK/blob/047fa6934ac32711d1d7b84fa6eb81c72db01960/GOVERNANCE.md,973,565,2010-07-27T15:48:04.000Z,2022-02-23T12:37:26.000Z,2022-02-24 2:20:12,53786,404,710,172,2289,153,2,2,C++,213807.0,1195115.0,15302.0
62547e91a67705b3d7ed9dcd,upbound/crossplane,GOVERNANCE.md,https://github.com/upbound/crossplane/blob/92ded31c47bd978fe4c28501ee5f4ab474368bc4/GOVERNANCE.md,5,3,2021-01-13T03:24:05.000Z,2021-11-26T15:10:34.000Z,2022-02-15 21:03:46,3763,99,2,2,0,0,4,3,Go,18459.0,103548.0,1387.0
62547e91a67705b3d7ed9dd9,clming/grafana,GOVERNANCE.md,https://github.com/clming/grafana/blob/7417ff015dc4c4867a26772f71894a07a939eb48/GOVERNANCE.md,1,0,2020-07-22T12:54:14.000Z,2021-05-01T16:26:31.000Z,2022-02-10 23:34:32,25917,1288,1,1,0,0,8,4,TypeScript,5843.0,48775.0,618.0
62547e91a67705b3d7ed9df0,webdriverio-boneyard/v4,GOVERNANCE.md,https://github.com/webdriverio-boneyard/v4/blob/f7c7870d03070e645acb952df20751717a2f645b/GOVERNANCE.md,7,20,2018-12-10T11:04:03.000Z,2020-03-12T09:36:02.000Z,2019-08-21 17:53:04,3213,381,18,6,27,4,1,1,JavaScript,116.0,526.0,8.0
62547e91a67705b3d7ed9df5,umple/umple,GOVERNANCE.md,https://github.com/umple/umple/blob/dba0a5744fbf45c0d7a167bd9371de6ab1c5c0ef/GOVERNANCE.md,174,185,2015-08-26T01:29:27.000Z,2022-02-14T19:39:43.000Z,2022-02-23 22:21:47,6073,101,1091,69,3124,59,1,1,Java,100156.0,408192.0,4564.0
62547e91a67705b3d7ed9dfc,containernetworking/cni,GOVERNANCE.md,https://github.com/containernetworking/cni/blob/8b25a7bf9e4a70b306074b704aaf39910d6d1dd8/GOVERNANCE.md,4029,889,2015-04-05T03:35:49.000Z,2022-02-24T03:44:17.000Z,2022-02-23 16:42:06,1042,149,333,173,937,176,2,1,Go,567.0,3362.0,53.0
