repo_name,repo_size
grpc/grpc-go,40272
grpc/grpc-java,103468
google/gvisor,92516
appium/appium,200764
InsightSoftwareConsortium/ITK,222479
upbound/crossplane,41446
clming/grafana,237863
webdriverio-boneyard/v4,130199
umple/umple,101335
containernetworking/cni,4574
opensourcedesign/opensourcedesign.github.io,128169
distribution/distribution,42636
restic/restic,68954
forseti-security/terraform-google-forseti,1936
nodejs/iojs.org,2098
crossplane/crossplane,43037
nodejs/ecmascript-modules,433402
nats-io/nats-site,106518
cubeFS/cubefs,253750
cortexproject/cortex,261918
telepresenceio/telepresence,42994
rook/cassandra,35863
rook/nfs,35908
etcd-io/etcd,88313
trickstercache/trickster,28918
keylime/keylime,15853
nodejs/worker,196984
char0n/ramda-adjunct,64922
grpc/grpc-web,1426
JaneaSystems/nodejs-mobile,420812
ayojs/ayo,267939
nodejs/wasi,336219
nodejs/ffi,350016
chakra-ui/chakra-ui,165712
StackStorm/st2,42412
Golden007Credentials/https-github.com-Golden007Credentials-node,214829
alibaba/AliOS-nodejs,377467
teamhephy/distribution,14401
IBM/ibm-crossplane,18296
grpc/grpc-node,8559
grpc/grpc.io,212914
newmuis/amphtml-story,384331
Samsung/node-jerryscript,502384
knative/community,7699
kumahq/kuma,303165
grpc/grpc-swift,18095
LunarG/VulkanTools,85221
open-policy-agent/opa,1088528
LiskArchive/lisk-node,195333
kopia/kopia,31388
skydive-project/skydive,76601
getporter/porter,41132
d-ronin/dRonin,260066
prebid/Prebid.js,106135
deejayy/hl.js,139664
yarnpkg/berry,2873186
grafana/metrictank,38915
litmuschaos/litmus,142787
with-git/node,244768
meshery/meshery,959659
edgexfoundry/edgex-go,170733
opencontainers/image-spec,5397
OSGeo/gdal,407133
AthenZ/athenz,68323
avaer/node-android-lib,313288
astrofrog/test-bot,72186
mozilla/positron-spidernode,251830
mozilla-b2g/platform_external_node,199370
m3db/m3,105676
keptn/keptn,170407
nodejs/quic,447079
Azure/SONiC,224878
KhronosGroup/Vulkan-Tools,45887
weaveworks/scope,83477
contiv/netplugin,34519
petamaj/nodetracer,348888
JuliaLang/www.julialang.org,336755
odpi/egeria,652983
naparuba/shinken,50751
withastro/astro,192648
Carreau/ipython-wiki,1898
coredns/coredns,101995
KhronosGroup/Vulkan-LoaderAndValidationLayers,81889
mitsuba-renderer/openexr,46967
fluent/fluent-bit,104120
tomopy/tomopy,58281
javaee/jersey,38964
fluent/fluentd,19998
openeuler-mirror/community,34076
liatrio/backstage-internal,210372
Kode/kmake,664495
ConsenSys/teku,543924
pymc-devs/pymc,540751
zellij-org/zellij,113067
notaryproject/notary,41466
vmware-tanzu/velero,54461
SBULeeLab/NodeFz,144239
gopasspw/gopass,17214
PixarAnimationStudios/OpenTimelineIO,24786
SeleniumHQ/seleniumhq.github.io,3097293
kubernetes/community,94978
bazelbuild/bazel-website,4156
vespa-engine/vespa,454995
keycloak/keycloak,525226
fluid-cloudnative/fluid,56076
openebs/maya,115385
openebs/openebs-docs,49038
chaos-mesh/chaos-mesh,70791
tardis-sn/tardis,1436839
alan-turing-institute/the-turing-way,736563
carpentries/glosario,4520
oam-dev/rudr,4200
envoyproxy/envoy-wasm,121374
nats-io/nats-operator,12306
coljs/medellinjs,11837
project-open-data/project-open-data.github.io,2647
horovod/horovod,6948
OAI/OpenAPI-Specification,7007
linkerd/website,219185
backstage/backstage,10622263
MaxBenefit/solidus,70723
tidyverse/ggplot2,1221962
mdn/browser-compat-data,110412
mlpack/mlpack,273539
envoyproxy/envoy,244021
nats-io/nats.go,4341
grafana/agent,100030
EthicalSource/contributor_covenant,7344
antrea-io/antrea,37510
openyurtio/openyurt,66940
amundsen-io/amundsen,40567
nats-io/k8s,1386
jaegertracing/jaeger,31276
arviz-devs/arviz,125001
tektoncd/community,5107
rook/rook,66555
layer5io/layer5,9816346
wp-cli/handbook,1950
nodejs/node,1253386
cri-o/cri-o,172347
prometheus-operator/prometheus-operator,126719
nodejs/perfetto-nodejs-wip,454516
mozilla/spiderweb-spidernode,248420
nodejs/http2,202082
astropy/astropy,171510
vmware-tanzu/carvel,49365
AcademySoftwareFoundation/openexr,58247
nats-io/nats-server,46680
KhronosGroup/Vulkan-ValidationLayers,186544
emissary-ingress/emissary,124936
fastify/fastify,8914
bazelbuild/rules_scala,4253
apolloconfig/apollo,56527
service-mesh-performance/service-mesh-performance,32452
edgexfoundry/edgex-docs,344916
vmware-tanzu/carvel-kapp,44427
bentoml/BentoML,97721
spotbugs/spotbugs,146488
AcademySoftwareFoundation/OpenShadingLanguage,225017
vmware-tanzu/tanzu-framework,262468
chef/chef-oss-practices,696
vmware-tanzu/community-edition,83299
AcademySoftwareFoundation/OpenColorIO,63823
keycloak-poc/keycloak,524671
vscode-kubernetes-tools/vscode-kubernetes-tools,16398
linkerd/linkerd,19129
nodejs/node-chakracore,429543
nodejs/node-convergence-archive,168143
MDAnalysis/mdanalysis,521028
solidusio/solidus,107431
nodejs/docker-node,2237
tldr-pages/tldr,33461
nodejs/undici,12021
dlminvestments/dlm-etcd,41681
tern-tools/tern,6930
nodejs/build,14289
nvm-sh/nvm,3842
linkerd/linkerd2,51048
strimzi/strimzi-kafka-operator,80069
bfenetworks/bfe,48086
dlminvestments/dlm-CoreDNS,82641
openkruise/kruise,69870
KhronosGroup/Vulkan-Loader,55074
LINCnil/pia,20264
kubeapps/kubeapps,131107
nodejs/node-auto-test,944708
vmware-tanzu/carvel-ytt,4842
volcano-sh/volcano,88344
grafana/tempo,159601
libuv/ci-tmp-libuv-node,866006
maistra/envoy,251779
webdriverio/webdriverio,355065
gardener/documentation,107698
dapr/dapr,125591
hyperledger/cactus,212500
grpc/grpc,550428
kiali/kiali,68070
opencontainers/runtime-spec,1750
OpenRefine/OpenRefine,405008
cds-hooks/docs,16082
alan-turing-institute/sktime,79798
Kleberson1/backstage,405200
gatsbyjs/gatsby,1142334
vitessio/vitess,441612
grafana/grafana,1321926
